# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.578882e+00 2.514298e-09 2.224187e-20) (2.012211e-02 1.055324e-11 4.562695e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.667328e-18 -2.419755e-22 -5.776834e-18) (4.810034e-20 3.537025e-20 -8.493328e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.880648e-02 -9.880476e-09 1.584045e-21) (1.759939e-02 1.881624e-10 -1.224432e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.349984e-20 9.785164e-23 -3.171735e-20) (2.732141e-22 -3.809869e-22 -7.334385e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.105061e-02 5.800161e-09 1.593459e-21) (1.600079e-02 1.616620e-10 -8.696014e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.302572e-20 1.063859e-22 5.721652e-20) (1.061860e-22 -2.431468e-22 -7.656887e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.495060e-02 -8.072696e-10 1.495435e-21) (1.480206e-02 1.222638e-10 -9.677973e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.645882e-20 1.144084e-22 -1.431778e-21) (-6.599188e-23 -2.806709e-22 -8.187412e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.366963e-02 5.651343e-11 1.471009e-21) (1.377673e-02 9.806699e-11 -1.036293e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.505207e-20 1.082314e-22 4.880131e-21) (-4.672069e-23 -2.625031e-22 -8.428262e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.284196e-02 4.171172e-10 1.452905e-21) (1.287888e-02 8.076970e-11 -1.097853e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.414614e-20 1.028000e-22 1.105117e-20) (-1.728641e-23 -2.427620e-22 -8.457945e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.214870e-02 5.335594e-10 1.437181e-21) (1.208450e-02 6.717949e-11 -1.152506e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.340342e-20 9.830928e-23 1.969184e-20) (1.023902e-23 -2.251607e-22 -8.358303e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.152710e-02 3.008981e-10 1.422671e-21) (1.137709e-02 5.465644e-11 -1.200803e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.273099e-20 9.457291e-23 2.029771e-20) (3.338717e-23 -2.098670e-22 -8.189843e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.096124e-02 1.707505e-10 1.409382e-21) (1.074411e-02 4.847514e-11 -1.243388e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.211414e-20 9.141070e-23 1.170269e-20) (5.258411e-23 -1.965014e-22 -8.299520e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.044528e-02 -5.431168e-12 1.397161e-21) (1.017557e-02 4.238566e-11 -1.280962e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.154908e-20 8.868604e-23 1.034114e-20) (6.850365e-23 -1.846711e-22 -8.247772e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
