# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-3.109227e-12	3.159266e+01	6.192519e-08	3.095949e-08	3.096571e-08
0.01          	1.197754e-10	4.926709e-01	-1.520592e-07	-7.590981e-08	-7.614936e-08
0.015         	1.037994e-10	5.424143e-01	7.358709e-08	3.689734e-08	3.668974e-08
0.02          	3.070571e-11	3.813909e-01	-1.861190e-08	-9.275246e-09	-9.336657e-09
0.025         	-4.116446e-11	3.552777e-01	2.738201e-09	1.327936e-09	1.410265e-09
0.03          	-1.002174e-10	3.394171e-01	1.412736e-08	6.963463e-09	7.163898e-09
0.035         	-1.485292e-10	3.262418e-01	-3.177181e-09	-1.737120e-09	-1.440061e-09
0.04          	-1.882653e-10	3.142410e-01	4.492218e-09	2.057844e-09	2.434375e-09
0.045         	-2.211308e-10	3.030109e-01	1.159665e-08	5.577195e-09	6.019457e-09
0.05          	-2.483383e-10	2.924410e-01	4.670570e-09	2.086947e-09	2.583623e-09
0.055         	-2.706132e-10	2.824855e-01	5.673600e-09	2.566187e-09	3.107413e-09
0.06          	-2.886385e-10	2.731228e-01	4.335387e-09	1.879055e-09	2.456332e-09
0.065         	-3.033842e-10	2.643352e-01	3.567655e-09	1.480443e-09	2.087212e-09
0.07          	-3.152381e-10	2.560902e-01	3.695054e-09	1.532289e-09	2.162765e-09
0.075         	-3.247678e-10	2.483550e-01	3.682751e-09	1.516608e-09	2.166143e-09
0.08          	-3.324315e-10	2.411008e-01	3.709905e-09	1.522521e-09	2.187384e-09
0.085         	-3.384323e-10	2.342953e-01	2.836288e-09	1.079712e-09	1.756576e-09
0.09          	-3.428626e-10	2.279172e-01	3.383600e-09	1.348937e-09	2.034663e-09
0.095         	-3.462243e-10	2.219201e-01	3.482509e-09	1.395030e-09	2.087479e-09
0.1           	-3.514555e-10	2.162946e-01	-1.327018e-09	-1.014964e-09	-3.120534e-10
0.105         	-3.546297e-10	2.110109e-01	-2.225549e-09	-1.467404e-09	-7.581449e-10
0.11          	-3.562092e-10	2.060467e-01	-2.352980e-09	-1.532699e-09	-8.202809e-10
0.115         	-3.561504e-10	2.013780e-01	-2.918821e-09	-1.815561e-09	-1.103260e-09
0.12          	-3.545812e-10	1.969907e-01	-2.891114e-09	-1.800138e-09	-1.090976e-09
0.125         	-3.515674e-10	1.928551e-01	-4.191250e-09	-2.447192e-09	-1.744057e-09
0.13          	-3.474300e-10	1.889525e-01	-4.144401e-09	-2.419630e-09	-1.724770e-09
0.135         	-3.424660e-10	1.852894e-01	-3.759700e-09	-2.222316e-09	-1.537384e-09
0.14          	-3.366823e-10	1.818307e-01	-6.933012e-09	-3.803188e-09	-3.129824e-09
0.145         	-3.294390e-10	1.785513e-01	-5.018489e-09	-2.838683e-09	-2.179805e-09
0.15          	-3.216758e-10	1.754534e-01	-4.974047e-09	-2.808699e-09	-2.165347e-09
0.155         	-3.134557e-10	1.725263e-01	-5.615728e-09	-3.121320e-09	-2.494408e-09
0.16          	-3.658562e-10	1.697555e-01	-1.351669e-08	-7.124203e-09	-6.392491e-09
0.165         	-4.124599e-10	1.671330e-01	-1.264314e-08	-6.734029e-09	-5.909109e-09
0.17          	-4.537248e-10	1.646515e-01	-1.458547e-08	-7.746459e-09	-6.839010e-09
0.175         	-4.896805e-10	1.622913e-01	-1.675455e-08	-8.866953e-09	-7.887592e-09
0.18          	-5.207795e-10	1.600564e-01	-1.502088e-08	-8.031219e-09	-6.989660e-09
0.185         	-5.476383e-10	1.579321e-01	-1.755914e-08	-9.327210e-09	-8.231934e-09
0.19          	-5.702345e-10	1.559142e-01	-1.823005e-08	-9.685261e-09	-8.544792e-09
0.195         	-5.888797e-10	1.540065e-01	-1.896490e-08	-1.007133e-08	-8.893569e-09
0.2           	-6.039342e-10	1.521922e-01	-1.966626e-08	-1.043706e-08	-9.229195e-09
0.205         	-6.156615e-10	1.504648e-01	-2.057104e-08	-1.090118e-08	-9.669857e-09
0.21          	-6.242971e-10	1.488375e-01	-2.096234e-08	-1.110547e-08	-9.856871e-09
0.215         	-6.301516e-10	1.472765e-01	-2.181346e-08	-1.153688e-08	-1.027658e-08
0.22          	-6.333944e-10	1.457960e-01	-2.236304e-08	-1.181492e-08	-1.054813e-08
0.225         	-6.342745e-10	1.443950e-01	-2.264589e-08	-1.195722e-08	-1.068867e-08
0.23          	-6.330534e-10	1.430554e-01	-2.047864e-08	-1.087237e-08	-9.606265e-09
0.235         	-6.299877e-10	1.417910e-01	3.651025e-09	1.195525e-09	2.455500e-09
0.24          	-6.249240e-10	1.405845e-01	-2.229095e-08	-1.177040e-08	-1.052055e-08
0.245         	-6.182429e-10	1.394455e-01	-2.423437e-08	-1.273543e-08	-1.149894e-08
