# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.568125e+00 3.088974e-09 2.211498e-20) (1.150832e-02 7.285689e-12 2.822977e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.655790e-18 -2.701705e-22 6.563663e-19) (2.964549e-20 2.181676e-20 -1.554620e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.427767e-02 -7.589467e-09 1.501541e-21) (1.035588e-02 -1.349170e-11 -8.357309e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.893416e-20 9.596794e-23 -3.210766e-20) (1.080579e-22 -2.771606e-22 5.988769e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.744926e-02 3.676678e-09 1.572603e-21) (9.671458e-03 2.676380e-12 -6.903900e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.916116e-20 9.188507e-23 1.145393e-21) (-4.756779e-24 -2.067450e-22 5.189969e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((9.876117e-03 -9.300825e-10 1.452117e-21) (9.193430e-03 -5.127142e-13 -7.287888e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.102821e-20 1.110069e-22 6.168133e-20) (-1.671650e-22 -2.490205e-22 1.535285e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((8.989574e-03 1.395348e-10 1.436012e-21) (8.774310e-03 -2.624724e-12 -7.550636e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.004718e-20 1.064640e-22 3.957396e-20) (-1.599592e-22 -2.399649e-22 -2.058223e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((8.575241e-03 7.091250e-10 1.425672e-21) (8.395612e-03 -2.756979e-12 -7.807444e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.595605e-21 1.024373e-22 7.539384e-20) (-1.429579e-22 -2.285155e-22 -5.010870e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((8.263023e-03 -1.538712e-10 1.416821e-21) (8.049067e-03 -4.987893e-12 -8.050331e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.269471e-21 9.910257e-23 6.210440e-20) (-1.255153e-22 -2.177024e-22 -7.426458e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((7.982526e-03 2.304456e-10 1.407916e-21) (7.729526e-03 -5.834670e-12 -8.275317e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.960869e-21 9.625526e-23 6.041428e-20) (-1.099041e-22 -2.079483e-22 -9.413267e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((7.717174e-03 5.855472e-10 1.399696e-21) (7.433372e-03 -5.714589e-12 -8.481369e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.659631e-21 9.377842e-23 1.803475e-20) (-9.612223e-23 -1.991261e-22 -1.105654e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((7.464192e-03 2.398626e-10 1.390676e-21) (7.157857e-03 -6.334069e-12 -8.667608e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.364997e-21 9.154942e-23 4.987386e-20) (-8.396064e-23 -1.910309e-22 -1.241692e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
