# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0033        	-1.375346e-12	4.775325e+01	1.057563e-07	5.287677e-08	5.287952e-08
0.0066        	-3.404983e-12	2.593307e-02	-1.959185e-07	-9.796265e-08	-9.795584e-08
0.0099        	2.794426e-12	3.593217e-01	6.377353e-08	3.188956e-08	3.188397e-08
0.0132        	4.084536e-12	1.679716e-01	-6.178536e-08	-3.088860e-08	-3.089677e-08
0.0165        	4.375721e-12	1.363039e-01	3.706576e-08	1.853725e-08	1.852850e-08
0.0198        	3.730750e-12	1.341917e-01	-2.808492e-08	-1.403873e-08	-1.404619e-08
0.0231        	3.058130e-12	1.324627e-01	2.767096e-08	1.383854e-08	1.383242e-08
0.0264        	2.449608e-12	1.303390e-01	-2.215673e-09	-1.105387e-09	-1.110286e-09
0.0297        	2.008139e-12	1.278785e-01	1.150396e-08	5.753990e-09	5.749973e-09
0.033         	1.665789e-12	1.252024e-01	1.043574e-08	5.219538e-09	5.216206e-09
0.0363        	1.283116e-12	1.224574e-01	7.362455e-09	3.682511e-09	3.679944e-09
0.0396        	9.514909e-13	1.197140e-01	5.875392e-09	2.938647e-09	2.936744e-09
0.0429        	6.026302e-13	1.170402e-01	4.369376e-09	2.185291e-09	2.184085e-09
0.0462        	1.464149e-12	1.144645e-01	3.842792e-09	1.922860e-09	1.919932e-09
0.0495        	2.298690e-12	1.120101e-01	2.776734e-09	1.390666e-09	1.386068e-09
0.0528        	3.082913e-12	1.096805e-01	2.689251e-09	1.347709e-09	1.341543e-09
0.0561        	3.805654e-12	1.074820e-01	3.121075e-09	1.564343e-09	1.556732e-09
0.0594        	4.491024e-12	1.054078e-01	5.642322e-09	2.825652e-09	2.816670e-09
0.0627        	5.166006e-12	1.034571e-01	7.067761e-09	3.539047e-09	3.528715e-09
0.066         	5.710640e-12	1.016207e-01	-7.174064e-10	-3.529926e-10	-3.644139e-10
0.0693        	6.199606e-12	9.989259e-02	-2.421021e-09	-1.204311e-09	-1.216710e-09
0.0726        	6.659849e-12	9.826466e-02	-1.880697e-09	-9.336886e-10	-9.470083e-10
0.0759        	7.078758e-12	9.672802e-02	-1.411844e-09	-6.988433e-10	-7.130009e-10
0.0792        	7.473119e-12	9.528004e-02	-1.426969e-09	-7.060116e-10	-7.209578e-10
0.0825        	7.849402e-12	9.390969e-02	-3.078135e-10	-1.460573e-10	-1.617561e-10
0.0858        	8.201152e-12	9.261419e-02	-5.043500e-10	-2.439739e-10	-2.603762e-10
0.0891        	8.534529e-12	9.138445e-02	3.159357e-10	1.665024e-10	1.494333e-10
0.0924        	8.821629e-12	9.021756e-02	-9.092905e-10	-4.458236e-10	-4.634669e-10
0.0957        	9.117770e-12	8.910921e-02	9.912254e-10	5.047304e-10	4.864949e-10
0.099         	9.439801e-12	8.805174e-02	-1.033504e-10	-4.223541e-11	-6.111501e-11
0.1023        	9.740798e-12	8.704733e-02	-9.519611e-10	-4.662398e-10	-4.857214e-10
0.1056        	1.212375e-11	8.608349e-02	2.303706e-09	1.163977e-09	1.139729e-09
0.1089        	1.425038e-11	8.516625e-02	-2.229405e-09	-1.100452e-09	-1.128953e-09
0.1122        	1.622974e-11	8.428534e-02	-1.389061e-09	-6.783007e-10	-7.107601e-10
0.1155        	1.818211e-11	8.344044e-02	-2.404597e-09	-1.184116e-09	-1.220481e-09
0.1188        	2.002238e-11	8.263245e-02	-1.800365e-09	-8.801603e-10	-9.202051e-10
0.1221        	2.178254e-11	8.184859e-02	-1.917384e-09	-9.369096e-10	-9.804747e-10
0.1254        	2.344840e-11	8.110467e-02	-2.316979e-09	-1.135041e-09	-1.181938e-09
0.1287        	2.503659e-11	8.037831e-02	-1.711415e-09	-8.306707e-10	-8.807439e-10
0.132         	2.653428e-11	7.968411e-02	-2.776488e-09	-1.361710e-09	-1.414778e-09
0.1353        	2.795700e-11	7.901319e-02	-2.346889e-09	-1.145488e-09	-1.201402e-09
0.1386        	2.930535e-11	7.836161e-02	-1.736237e-09	-8.388130e-10	-8.974237e-10
0.1419        	3.062342e-11	7.774029e-02	-2.725595e-09	-1.332174e-09	-1.393421e-09
0.1452        	3.184086e-11	7.713004e-02	-1.906107e-09	-9.212127e-10	-9.848944e-10
0.1485        	3.301337e-11	7.654658e-02	-2.706801e-09	-1.320387e-09	-1.386414e-09
0.1518        	3.411446e-11	7.597870e-02	-2.476847e-09	-1.204309e-09	-1.272538e-09
0.1551        	3.514159e-11	7.542784e-02	-2.330486e-09	-1.130101e-09	-1.200384e-09
0.1584        	3.612124e-11	7.490079e-02	-2.130281e-09	-1.029019e-09	-1.101262e-09
0.1617        	3.704462e-11	7.438020e-02	-2.467633e-09	-1.196772e-09	-1.270861e-09
0.165         	3.792439e-11	7.389033e-02	-2.567411e-09	-1.245781e-09	-1.321630e-09
0.1683        	3.871004e-11	7.340183e-02	-1.893786e-09	-9.081829e-10	-9.856029e-10
0.1716        	3.949261e-11	7.293745e-02	-2.809482e-09	-1.365249e-09	-1.444234e-09
0.1749        	4.019275e-11	7.248257e-02	-2.121377e-09	-1.020496e-09	-1.100881e-09
0.1782        	4.084991e-11	7.204264e-02	-2.493207e-09	-1.205754e-09	-1.287454e-09
0.1815        	4.145440e-11	7.162240e-02	-2.819895e-09	-1.368493e-09	-1.451402e-09
0.1848        	4.208985e-11	7.120905e-02	-1.859621e-09	-8.877206e-10	-9.719003e-10
0.1881        	4.264707e-11	7.081341e-02	-2.848813e-09	-1.381759e-09	-1.467054e-09
0.1914        	4.321897e-11	7.043541e-02	-2.435079e-09	-1.174321e-09	-1.260759e-09
0.1947        	4.376362e-11	7.006609e-02	-1.469700e-09	-6.910866e-10	-7.786138e-10
0.198         	4.423020e-11	6.972158e-02	-3.779695e-09	-1.845617e-09	-1.934078e-09
0.2013        	4.476848e-11	6.938162e-02	-9.033875e-10	-4.069253e-10	-4.964622e-10
0.2046        	4.518366e-11	6.906367e-02	-3.495137e-09	-1.702385e-09	-1.792752e-09
0.2079        	4.562983e-11	6.875418e-02	-9.188253e-10	-4.137828e-10	-5.050425e-10
0.2112        	4.599631e-11	6.845760e-02	-2.526804e-09	-1.217406e-09	-1.309398e-09
0.2145        	4.633104e-11	6.817698e-02	-1.814429e-09	-8.608833e-10	-9.535454e-10
0.2178        	4.667659e-11	6.790154e-02	-9.290751e-10	-4.178610e-10	-5.112141e-10
0.2211        	4.702179e-11	6.764285e-02	-1.900940e-09	-9.034481e-10	-9.974917e-10
0.2244        	4.728725e-11	6.738737e-02	-2.364881e-09	-1.135153e-09	-1.229728e-09
0.2277        	4.753830e-11	6.714509e-02	-2.658744e-09	-1.281834e-09	-1.376910e-09
0.231         	4.777149e-11	6.691226e-02	-1.907220e-09	-9.058386e-10	-1.001382e-09
0.2343        	4.798535e-11	6.668785e-02	-2.448575e-09	-1.176302e-09	-1.272273e-09
0.2376        	4.818742e-11	6.647498e-02	-2.595000e-09	-1.249313e-09	-1.345688e-09
0.2409        	4.838441e-11	6.627078e-02	-1.899748e-09	-9.014896e-10	-9.982584e-10
0.2442        	4.861268e-11	6.607929e-02	-2.449195e-09	-1.175985e-09	-1.273210e-09
0.2475        	4.884063e-11	6.589947e-02	-2.747136e-09	-1.324727e-09	-1.422409e-09
0.2508        	4.905689e-11	6.569989e-02	-2.941877e-09	-1.421882e-09	-1.519995e-09
0.2541        	4.926600e-11	6.550320e-02	-2.680709e-09	-1.291088e-09	-1.389620e-09
0.2574        	4.946643e-11	6.529129e-02	-3.057617e-09	-1.479342e-09	-1.578275e-09
