# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.0033        	((2.384398e+00 5.286252e-09 1.597887e-19) (3.264586e-03 1.562639e-12 -2.738797e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.975044e-19 5.696401e-19 1.490159e-19) (2.773170e-20 -4.412478e-21 -6.876747e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0066        	((-1.720757e-03 -9.794149e-09 5.058566e-21) (3.017410e-03 -1.775283e-12 -8.573977e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.821009e-21 -4.857587e-22 2.197604e-19) (8.168421e-23 -6.629040e-23 -1.702494e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0099        	((1.507897e-02 3.189002e-09 5.505301e-21) (2.887118e-03 -3.252154e-13 -8.232153e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.731992e-21 3.532895e-21 -1.335280e-20) (1.991974e-22 -8.485921e-23 1.397213e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0132        	((5.586034e-03 -3.087580e-09 5.117742e-21) (2.812548e-03 -1.688403e-12 -8.105189e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.553055e-22 1.263477e-21 5.433236e-20) (1.170709e-22 -6.280474e-23 2.042267e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0165        	((4.059530e-03 1.854155e-09 5.285765e-21) (2.755667e-03 -8.673874e-13 -8.328019e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.608251e-22 9.001943e-22 2.381938e-20) (1.056044e-22 -5.857136e-23 2.187860e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0198        	((4.003698e-03 -1.402686e-09 5.180858e-21) (2.705885e-03 -1.560333e-12 -8.358627e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.148653e-22 8.911180e-22 4.662206e-20) (1.049399e-22 -5.787485e-23 1.865375e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0231        	((3.962323e-03 1.384388e-09 5.103883e-21) (2.660810e-03 -8.400609e-13 -8.405618e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.785022e-22 8.863388e-22 2.330359e-20) (1.038693e-22 -5.732836e-23 1.529065e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0264        	((3.897828e-03 -1.099473e-10 5.029389e-21) (2.619120e-03 -8.363188e-13 -8.446993e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.354697e-22 8.750803e-22 1.168382e-20) (1.022512e-22 -5.679431e-23 1.224804e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0297        	((3.813928e-03 5.757306e-10 4.960266e-21) (2.579995e-03 -5.324331e-13 -8.486298e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.808196e-22 8.585088e-22 2.192729e-20) (1.001514e-22 -5.625960e-23 1.004069e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.033         	((3.717215e-03 5.220780e-10 4.897102e-21) (2.542905e-03 -2.907668e-13 -8.524069e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.140365e-22 8.387177e-22 1.778994e-20) (9.771578e-23 -5.572495e-23 8.328943e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0363        	((3.615387e-03 3.682194e-10 4.838724e-21) (2.507482e-03 -9.668007e-14 -8.560052e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.516438e-22 8.171579e-22 3.336725e-20) (9.521828e-23 -5.519150e-23 6.415576e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0396        	((3.512230e-03 2.937378e-10 4.785377e-21) (2.473470e-03 3.179695e-14 -8.596689e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.988898e-22 7.951055e-22 2.024159e-20) (9.278346e-23 -5.466020e-23 4.757452e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0429        	((3.411332e-03 2.183572e-10 4.736926e-21) (2.440679e-03 1.116265e-13 -8.634823e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.625729e-22 7.733068e-22 2.464512e-20) (9.049386e-23 -5.413512e-23 3.013148e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0462        	((3.314259e-03 1.916827e-10 4.692802e-21) (2.408967e-03 4.569174e-13 -8.674866e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.373900e-22 7.523000e-22 1.783603e-20) (8.832399e-23 -5.362105e-23 7.320744e-14) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0495        	((3.222283e-03 1.381221e-10 4.653515e-21) (2.378225e-03 7.145600e-13 -8.717750e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.202358e-22 7.323541e-22 8.020008e-21) (8.626969e-23 -5.312050e-23 1.149345e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0528        	((3.135658e-03 1.335273e-10 4.617356e-21) (2.348364e-03 9.353163e-13 -8.762123e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.053021e-22 7.136156e-22 3.988448e-20) (8.432169e-23 -5.263538e-23 1.541456e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0561        	((3.054784e-03 1.549103e-10 4.585187e-21) (2.319315e-03 1.143412e-12 -8.809014e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.302044e-23 6.961028e-22 5.410139e-20) (8.250994e-23 -5.216551e-23 1.902827e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0594        	((2.979374e-03 2.807171e-10 4.554819e-21) (2.291018e-03 1.399004e-12 -8.856925e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.136393e-23 6.798106e-22 9.348536e-21) (8.083652e-23 -5.171072e-23 2.245512e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0627        	((2.909431e-03 3.517519e-10 4.527470e-21) (2.263425e-03 1.636133e-12 -8.906625e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.220592e-23 6.646508e-22 1.268549e-20) (7.931885e-23 -5.126858e-23 2.583003e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.066         	((2.844540e-03 -3.753370e-11 4.500802e-21) (2.236494e-03 1.663382e-12 -8.956290e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.377282e-23 6.505193e-22 4.311177e-20) (7.793701e-23 -5.083736e-23 2.855320e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.0693        	((2.784442e-03 -1.227027e-10 4.476399e-21) (2.210188e-03 1.651662e-12 -9.006723e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.754193e-23 6.372549e-22 1.366667e-20) (7.669597e-23 -5.041284e-23 3.099803e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
