# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.598141e+00 -3.600855e-09 8.565720e-20) (2.733747e-02 -1.555414e-11 -1.546923e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.334228e-19 3.820712e-19 -2.368101e-18) (1.676883e-19 -2.683024e-20 4.256764e-13) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((7.173062e-03 1.037312e-09 5.624362e-21) (2.227793e-02 6.718472e-11 -7.950286e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.451932e-21 1.661504e-21 -4.124210e-20) (1.383079e-21 -6.196783e-22 -1.002063e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.101622e-02 5.241231e-10 6.646506e-21) (1.891384e-02 4.822446e-11 -7.127058e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.275410e-21 4.950836e-21 -4.661736e-20) (2.568365e-21 -7.452672e-22 -8.230555e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.682098e-02 8.272905e-11 6.105854e-21) (1.653257e-02 4.095793e-11 -7.058346e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.812053e-21 3.955577e-21 -1.535708e-20) (2.179510e-21 -6.289595e-22 -1.270312e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.527878e-02 3.668738e-09 5.695509e-21) (1.466802e-02 4.147601e-11 -6.963810e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.596398e-21 3.594219e-21 -2.362417e-20) (1.972882e-21 -5.756014e-22 -1.544723e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.391138e-02 2.512447e-09 5.374288e-21) (1.317433e-02 3.520676e-11 -6.907906e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.419242e-21 3.272910e-21 4.626196e-21) (1.791557e-21 -5.295947e-22 -1.683120e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.273442e-02 2.529958e-09 5.114878e-21) (1.196254e-02 3.052244e-11 -6.872883e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.272567e-21 2.995539e-21 -1.821291e-20) (1.636556e-21 -4.901204e-22 -1.712682e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.173253e-02 2.021290e-09 4.903081e-21) (1.096875e-02 2.622239e-11 -6.852194e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.150402e-21 2.758949e-21 -1.235218e-21) (1.505158e-21 -4.562562e-22 -1.656290e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.088192e-02 2.508939e-09 4.728074e-21) (1.014560e-02 2.606644e-11 -6.841432e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.048445e-21 2.557777e-21 -5.496949e-21) (1.393884e-21 -4.271229e-22 -1.535044e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.015828e-02 2.423641e-09 4.581821e-21) (9.457275e-03 2.670768e-11 -6.837903e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.623002e-22 2.386513e-21 -1.109693e-20) (1.299282e-21 -4.019566e-22 -1.369356e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((9.540171e-03 2.550544e-09 4.458048e-21) (8.876367e-03 2.908478e-11 -6.839410e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.885031e-22 2.240188e-21 1.183064e-20) (1.218417e-21 -3.801045e-22 -1.175387e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((9.009577e-03 2.622910e-09 4.351809e-21) (8.381670e-03 3.267083e-11 -6.844167e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.244224e-22 2.114553e-21 2.780003e-20) (1.148866e-21 -3.610258e-22 -9.663057e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((8.551433e-03 2.621125e-09 4.260312e-21) (7.956666e-03 3.698516e-11 -6.851768e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.676381e-22 2.006171e-21 -7.029124e-21) (1.088603e-21 -3.442767e-22 -7.518775e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((8.153848e-03 2.645217e-09 4.179741e-21) (7.588387e-03 4.187318e-11 -6.860525e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.175695e-22 1.912075e-21 -2.371933e-22) (1.036124e-21 -3.294898e-22 -5.392859e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((7.807001e-03 2.687301e-09 4.108256e-21) (7.266583e-03 4.724907e-11 -6.870151e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.737684e-22 1.829942e-21 -1.107338e-20) (9.901652e-22 -3.163661e-22 -3.334966e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((7.502631e-03 2.697982e-09 4.044776e-21) (6.983135e-03 5.311058e-11 -6.880909e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.345356e-22 1.757906e-21 3.177160e-21) (9.496196e-22 -3.046539e-22 -1.378995e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((7.234078e-03 2.733073e-09 3.987914e-21) (6.731581e-03 5.944491e-11 -6.892606e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.986232e-22 1.694400e-21 1.749399e-20) (9.136456e-22 -2.941515e-22 4.567028e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((6.996034e-03 2.765017e-09 3.936317e-21) (6.506745e-03 6.624953e-11 -6.904628e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.660160e-22 1.638119e-21 1.535498e-20) (8.816059e-22 -2.846892e-22 2.161283e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((6.783802e-03 2.783369e-09 3.889777e-21) (6.304450e-03 7.321013e-11 -6.917459e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.355732e-22 1.588055e-21 1.462022e-22) (8.528019e-22 -2.761243e-22 3.730515e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.594017e-03 2.817850e-09 3.846995e-21) (6.121304e-03 8.041895e-11 -6.930242e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.077553e-22 1.543291e-21 1.263415e-20) (8.268855e-22 -2.683426e-22 5.164555e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((6.423555e-03 2.884299e-09 3.807292e-21) (5.954555e-03 8.791499e-11 -6.943004e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.818781e-22 1.503087e-21 7.041097e-21) (8.034579e-22 -2.612441e-22 6.467514e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((6.269678e-03 2.700874e-09 3.771100e-21) (5.801927e-03 9.431400e-11 -6.956331e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.572259e-22 1.466915e-21 2.387480e-20) (7.820674e-22 -2.547433e-22 7.644731e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.115         	((6.130419e-03 2.914591e-09 3.737375e-21) (5.661544e-03 1.017800e-10 -6.969544e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.341778e-22 1.434209e-21 3.507431e-21) (7.625436e-22 -2.487685e-22 8.702229e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((6.004226e-03 2.899267e-09 3.705171e-21) (5.531857e-03 1.086790e-10 -6.981911e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.132385e-22 1.404503e-21 1.863462e-20) (7.447610e-22 -2.432621e-22 9.647906e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.125         	((5.889100e-03 2.925366e-09 3.675488e-21) (5.411562e-03 1.153909e-10 -6.994644e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.927175e-22 1.377524e-21 1.770837e-20) (7.283078e-22 -2.381667e-22 1.048811e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((5.783855e-03 2.949591e-09 3.647623e-21) (5.299557e-03 1.217368e-10 -7.007363e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.729898e-22 1.352928e-21 1.259444e-20) (7.130998e-22 -2.334391e-22 1.123016e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.135         	((5.687713e-03 3.000395e-09 3.620732e-21) (5.194925e-03 1.279991e-10 -7.019248e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.550799e-22 1.330404e-21 -1.220784e-20) (6.990954e-22 -2.290438e-22 1.188102e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.14          	((5.599404e-03 2.947542e-09 3.595210e-21) (5.096879e-03 1.336617e-10 -7.030778e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.375779e-22 1.309775e-21 1.672693e-20) (6.860826e-22 -2.249424e-22 1.244821e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.145         	((5.518117e-03 2.930075e-09 3.570925e-21) (5.004737e-03 1.390242e-10 -7.042231e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.207608e-22 1.290833e-21 -8.128118e-21) (6.739690e-22 -2.211075e-22 1.293784e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.15          	((5.443118e-03 2.978834e-09 3.547813e-21) (4.917918e-03 1.442081e-10 -7.053557e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.043949e-22 1.273412e-21 1.311898e-20) (6.626224e-22 -2.175139e-22 1.335589e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.155         	((5.373947e-03 2.971467e-09 3.525312e-21) (4.835929e-03 1.490459e-10 -7.064169e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.886214e-22 1.257341e-21 2.742540e-20) (6.520350e-22 -2.141410e-22 1.370707e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.16          	((5.309923e-03 2.917801e-09 3.503694e-21) (4.758327e-03 1.533721e-10 -7.074551e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.734644e-22 1.242510e-21 -1.171797e-20) (6.421331e-22 -2.109672e-22 1.399724e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
